Periodo;Partner;Pais;ID_Link;Nombre_Link;ID_Afiliador;Nombre_Afiliador;Registros;Cantidad_Primeros_Depositos;Valor_Primeros_Depositos
2024-06-01-2024-06-30;Doradobet;Chile;17698;Landing_Regalo_FacebookCH_BA;1160207;QuotaMedia_DBCL;0;2;7000
2024-06-01-2024-06-30;Ecuabet;Ecuador;17821;Final_Sudamericana_SportRadarEC;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Doradobet;Costa Rica;17497;FreeBet_Trio_Americano_BidquestCR;779030;QuotaMedia_DBCR;0;1;2000
2024-06-01-2024-06-30;Ecuabet;Ecuador;14102;BesoccerEC_NuevoBonoBienvenida;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Doradobet;Chile;17695;Torneos_Casino_FacebookCH_BA;1160207;QuotaMedia_DBCL;0;1;2500
2024-06-01-2024-06-30;Doradobet;Ecuador;14714;FacebookECDorado_Registro_Erika_BA;2457236;QuotaMedia_DBEC;0;17;141,51
2024-06-01-2024-06-30;Doradobet;Perú;16206;Ligas_Europeas_MGIDPE_Registro;14864;QuotaMedia_DBPE;0;1;15
2024-06-01-2024-06-30;Doradobet;Perú;15764;Cuotas_FacebookPE_CombinadaLigasEuropeas;46079;Facebook_DBPE;0;1;10
2024-06-01-2024-06-30;Doradobet;Perú;15798;Cuotas_FacebookPE_MundialEliminatorias;46079;Facebook_DBPE;0;5;50
2024-06-01-2024-06-30;Ecuabet;Ecuador;18379;Diario_Metro_PollaMundialistaEC;255431;QuotaMedia_ECEC;0;1;50
2024-06-01-2024-06-30;Ecuabet;Ecuador;18189;Polla_SportRadarEC;255431;QuotaMedia_ECEC;0;1;100
2024-06-01-2024-06-30;Ecuabet;Ecuador;16122;Champions_BidQuestEC;255431;QuotaMedia_ECEC;0;2;15
2024-06-01-2024-06-30;Ecuabet;Ecuador;18419;Ruleta_Ecuabet_BidQuestEC;255431;QuotaMedia_ECEC;0;1;3
2024-06-01-2024-06-30;Ecuabet;Ecuador;14822;TwitterEC_Tráfico_Sorteo_Eliminatorias;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;18450;Sorteo_FacebookEC_BA;1213088;FacebookEcuabet;0;25;142,5
